,date,close,volume,volume_avg,trade_flag,shadow_sum,fee,num,dPrice,sum,dTime,dCode,cash,val,secVal,margin_ratio,open_num,trade_way,pos_num
TF.CFE,2015-07-17 13:15:00,96.95,608.0,198.8,1,1,40,50000.0,96.95,4847500.0,2015-07-17 13:15:00,TF.CFE,1095280.0,1095280.0,0,0.0,33,多开,1
TF.CFE,2015-07-20 10:00:00,96.975,119.0,293.6,0,0,0.0,-50000.0,96.975,-4848750.0,2015-07-20 10:00:00,TF.CFE,-3752260.0,1097240.0,4849500.0,0.0,33,多平,1
TF.CFE,2015-07-30 09:30:00,97.255,811.0,318.0,1,1,40,50000.0,97.255,4862750.0,2015-07-30 09:30:00,TF.CFE,1096490.0,1096490.0,0,0.0,34,多开,1
TF.CFE,2015-07-31 10:00:00,96.84,618.0,551.2,0,0,0.0,-50000.0,96.84,-4842000.0,2015-07-31 10:00:00,TF.CFE,-3766300.0,1076450.0,4842750.0,0.0,34,多平,1
TF.CFE,2015-08-11 09:30:00,96.75,1099.0,397.2,1,-1,40,-50000.0,96.75,-4837500.0,2015-08-11 09:30:00,TF.CFE,1075700.0,1075700.0,0,0.0,35,多开,1
TF.CFE,2015-08-12 10:00:00,96.275,808.0,728.0,0,0,0.0,50000.0,96.275,4813750.0,2015-08-12 10:00:00,TF.CFE,5913160.0,1104910.0,-4808250.0,0.0,35,多平,1
TF.CFE,2015-08-17 09:30:00,96.37,696.0,342.8,1,1,40,50000.0,96.37,4818500.0,2015-08-17 09:30:00,TF.CFE,1099410.0,1099410.0,0,0.0,36,多开,1
TF.CFE,2015-08-18 10:00:00,98.1,131.0,217.8,0,0,0.0,-50000.0,98.1,-4905000.0,2015-08-18 10:00:00,TF.CFE,-3719130.0,1184870.0,4904000.0,0.0,36,多平,1
TF.CFE,2015-10-12 09:30:00,100.02,3341.0,1454.8,1,1,40,50000.0,100.02,5001000.0,2015-10-12 09:30:00,TF.CFE,1185870.0,1185870.0,0,0.0,37,多开,1
TF.CFE,2015-10-13 10:00:00,99.91,1199.0,1243.2,0,0,0.0,-50000.0,99.91,-4995500.0,2015-10-13 10:00:00,TF.CFE,-3815170.0,1184080.0,4999250.0,0.0,37,多平,1
